1	Title: Đánh giá iPhone SE 2022: Khoan...	Title : Đánh giá iPhone SE 2022 : Khoan . . .
2	không tệ như bạn nghĩ đâu, nghe tôi giải thích đã!	không tệ như bạn nghĩ đâu , nghe tôi giải thích đã !
3	Dù nhận bao nhiêu lời chê bai, phán xét thế nhưng iPhone SE 2022 có thể sẽ khiến bạn phải “quay xe” bởi chiếc máy này không hề tệ như bạn nghĩ đâu!	Dù nhận bao nhiêu lời chê bai , phán xét thế nhưng iPhone SE 2022 có thể sẽ khiến bạn phải “ quay xe ” bởi chiếc máy này không hề tệ như bạn nghĩ đâu !
4	Trước khi ra mắt, iPhone SE 2022 nhận được rất nhiều ý kiến trái chiều, không ít lời chê bai nhưng vẫn không thể cản bước được Apple ra mắt chiếc máy này.	Trước khi ra mắt , iPhone SE 2022 nhận được rất nhiều ý kiến trái chiều , không ít lời chê bai nhưng vẫn không thể cản bước được Apple ra mắt chiếc máy này .
5	Apple có lý do để làm vậy, chí ít là iPhone SE thế hệ trước vẫn bán chạy.	Apple có lý do để làm vậy , chí ít là iPhone SE thế hệ trước vẫn bán chạy .
6	Mặc dù iPhone SE 2022 không còn nhiều sức hấp dẫn nữa rồi nhưng chiếc máy này vẫn sở hữu nhiều điểm cộng đấy.	Mặc dù iPhone SE 2022 không còn nhiều sức hấp dẫn nữa rồi nhưng chiếc máy này vẫn sở hữu nhiều điểm cộng đấy .
7	Hãy cùng mình trải nghiệm và đánh giá chiếc máy này nhé!	Hãy cùng mình trải nghiệm và đánh giá chiếc máy này nhé !
8	Thiết kế	Thiết kế
9	Khi ra mắt, người ta nói nhiều nhất có lẽ là thiết kế của iPhone SE 2022.	Khi ra mắt , người ta nói nhiều nhất có lẽ là thiết kế của iPhone SE 2022 .
10	Thật khó để biện minh cho Apple trong trường hợp này.	Thật khó để biện minh cho Apple trong trường hợp này .
11	Rõ ràng rồi, chiếc iPhone “tai thỏ” thế hệ đầu tiên ra mắt cũng đã gần 5 năm, cũng có nhiều đồn đoán và sự kỳ vọng về thiết kế mới trên iPhone SE 2022 thế nhưng cái chúng ta nhận được lại là một vẻ ngoài quen thuộc đến nỗi hơi ngán ngẩm.	Rõ ràng rồi , chiếc iPhone “ tai thỏ ” thế hệ đầu tiên ra mắt cũng đã gần 5 năm , cũng có nhiều đồn đoán và sự kỳ vọng về thiết kế mới trên iPhone SE 2022 thế nhưng cái chúng ta nhận được lại là một vẻ ngoài quen thuộc đến nỗi hơi ngán ngẩm .
12	alt: iPhone SE 2022	alt : iPhone SE 2022
13	des:	des :
14	iPhone SE 2022 có vẻ ngoài nhỏ nhắn, màn hình chỉ 4.7 inches nên bạn có thể dễ dàng điều khiển chỉ với 1 tay.	iPhone SE 2022 có vẻ ngoài nhỏ nhắn , màn hình chỉ 4.7 inches nên bạn có thể dễ dàng điều khiển chỉ với 1 tay .
15	Nhưng đây là điểm trừ cực lớn với những người “tay to”, thích màn hình lớn hay các game thủ.	Nhưng đây là điểm trừ cực lớn với những người “ tay to ” , thích màn hình lớn hay các game thủ .
16	Bù lại, những ai yêu thích sự gọn gàng, đơn giản thì chiếc máy này có sức hút khá tốt đấy.	Bù lại , những ai yêu thích sự gọn gàng , đơn giản thì chiếc máy này có sức hút khá tốt đấy .
17	alt: iPhone SE 2022	alt : iPhone SE 2022
18	des: iPhone SE 2022 khá nhỏ so với kích thước tay của mình	des : iPhone SE 2022 khá nhỏ so với kích thước tay của mình
19	Vớt vát một chút, mình khen iPhone SE 2022 ở điểm chất lượng hoàn thiện tốt, cảm giác cầm nắm vẫn mang một cảm giác gì đó rất thoải mái.	Vớt vát một chút , mình khen iPhone SE 2022 ở điểm chất lượng hoàn thiện tốt , cảm giác cầm nắm vẫn mang một cảm giác gì đó rất thoải mái .
20	Viền trên dưới của máy ở thời điểm này đã là rất dày, chắc chỉ có mỗi Apple là dám cho ra một chiếc máy có viền như thế này.	Viền trên dưới của máy ở thời điểm này đã là rất dày , chắc chỉ có mỗi Apple là dám cho ra một chiếc máy có viền như thế này .
21	Bù lại chúng ta có Touch ID, một trong những công cụ rất tiện lợi trong thời điểm này.	Bù lại chúng ta có Touch ID , một trong những công cụ rất tiện lợi trong thời điểm này .
22	Hiệu năng	Hiệu năng
23	Được trang bị vi xử lý Apple A15 thì hiệu năng của iPhone SE 2022 là điều không phải bàn.	Được trang bị vi xử lý Apple A15 thì hiệu năng của iPhone SE 2022 là điều không phải bàn .
24	Kể cả ở thời điểm hiện tại hay nhiều năm nữa, iPhone SE 2022 vẫn mang đến sự mượt mà đáng kinh ngạc mà đối thủ của nó - những chiếc máy Android khó lòng sánh được.	Kể cả ở thời điểm hiện tại hay nhiều năm nữa , iPhone SE 2022 vẫn mang đến sự mượt mà đáng kinh ngạc mà đối thủ của nó - những chiếc máy Android khó lòng sánh được .
25	Chấm thử bằng 2 phần mềm quen thuộc chuyên dùng để đo hiệu suất.	Chấm thử bằng 2 phần mềm quen thuộc chuyên dùng để đo hiệu suất .
